gene	drug	regulatory approval	indication	interaction score
CSF3R	ANTI-C-FMS MONOCLONAL ANTIBODY AMG 820	Not Approved	""	1.00976290837874
CSF3R	PLX-5622	Not Approved	""	2.01952581675748
CSF3R	TRAMETINIB DIMETHYL SULFOXIDE	Approved	antineoplastic agent	0.1211715490054488
ACVR1C	SB-431542	Not Approved	""	5.834185692854945
EGF	CETUXIMAB	Approved	antineoplastic agent	0.4861821410712454
EGF	EPIDERMAL GROWTH FACTOR	Not Approved	""	8.751278539282415
EGF	NIMOTUZUMAB	Not Approved	antineoplastic agent	8.751278539282415
FN1	DAROMUN	Not Approved	""	4.039051633514961
FN1	ONFEKAFUSP ALFA	Not Approved	""	4.039051633514961
FN1	MU-BC-1	Not Approved	""	4.039051633514961
FN1	L19IL2	Not Approved	""	8.078103267029922
FN1	DACARBAZINE	Approved	Antineoplastic Agents	0.2692701089009974
FN1	RADRETUMAB	Not Approved	""	4.039051633514961
FN1	L19SIP 131I	Not Approved	""	4.039051633514961
FN1	OCRIPLASMIN	Approved	""	0.21258166492184
FN1	COMPOUND 28 [PMID: 16460935]	Not Approved	""	4.039051633514961
FN1	L19TNFA	Not Approved	""	4.039051633514961
FN1	AS1409	Not Approved	antineoplastic agent	1.346350544504987
FN1	AS-1409	Not Approved	""	4.039051633514961
FN1	SUTIMLIMAB	Not Approved	""	4.039051633514961
STAT1	GUTTIFERONE K	Not Approved	""	8.751278539282415
STAT1	PICOPLATIN	Not Approved	""	8.751278539282415
STAT1	IPRIFLAVONE	Not Approved	""	0.729273211606868
STAT1	GARCINOL	Not Approved	""	2.187819634820604
STAT1	CHEMBL:CHEMBL85826	Not Approved	""	0.9723642821424908
STAT1	CISPLATIN	Approved	""	0.06035364509849942
COL6A1	OCRIPLASMIN	Approved	""	0.6908904109959803
COL6A1	COLLAGENASE CLOSTRIDIUM HISTOLYTICUM-AAES	Approved	for treatment of Dupuytren's contracture	0.9376369863516874
TNFRSF11A	DICLOFENAC SODIUM	Approved	for treatment of glaucoma,analgesic,NSAID	0.4412409347537353
TNFRSF11A	ZOLEDRONIC ACID ANHYDROUS	Approved	antiosteoporotic agent	1.000146118775133
TNFRSF11A	RISPERIDONE	Approved	antipsychotic agent,Antipsychotic Agents	0.2239133101735373
TNFRSF11A	DENOSUMAB	Approved	antiosteoporotic agent	2.500365296937833
TNFRSF11A	ACETAMINOPHEN	Approved	analgesic	0.2885036881082116
TNFRSF11A	PAMIDRONATE	Approved	Bisphosphonates	1.363835616511545
TNFRSF11A	ASPIRIN	Approved	NSAID,antithrombotic,anticoagulant	0.1063985232739503
PDGFRA	MOTESANIB	Not Approved	antineoplastic agent	0.2347585897273971
PDGFRA	IMATINIB	Approved	antineoplastic agent	0.2639729920045843
PDGFRA	SUNITINIB	Approved	antineoplastic agent	0.3513393859865807
PDGFRA	REGORAFENIB	Approved	antineoplastic agent	0.1043371509899543
PDGFRA	ENMD-2076	Not Approved	antineoplastic agent	0.02776714502152009
PDGFRA	TOVETUMAB	Not Approved	""	3.443125982668491
PDGFRA	ORANTINIB	Not Approved	""	0.0662139612051633
PDGFRA	XL-820	Not Approved	""	0.2869271652223742
PDGFRA	BARASERTIB-HQPA	Not Approved	""	0.03742528242030969
PDGFRA	AVAPRITINIB	Approved	""	0.6886251965336985
PDGFRA	OLARATUMAB	Approved	antineoplastic agent	2.151953739167807
PDGFRA	MIDOSTAURIN	Approved	antineoplastic agent	0.04782119420372905
PDGFRA	DASATINIB ANHYDROUS	Approved	antineoplastic agent	0.1900426678745596
PDGFRA	XL-999	Not Approved	""	0.07825286324246572
PDGFRA	VATALANIB	Not Approved	antineoplastic agent	0.1434635826111871
PDGFRA	NINTEDANIB ESYLATE	Approved	antineoplastic agent	0.1377250393067396
PDGFRA	AMUVATINIB	Not Approved	antineoplastic agent	0.491875140381213
PDGFRA	PONATINIB	Approved	antineoplastic agent	0.1032937794800547
PDGFRA	CRENOLANIB	Not Approved	""	1.090323227845022
PDGFRA	RABEPRAZOLE	Approved	Proton pump inhibitor	0.03310698060258165
PDGFRA	SORAFENIB	Approved	antineoplastic agent	0.03020285949709203
PDGFRA	BECAPLERMIN	Approved	for treatment of diabetic foot ulcers	0.8607814956671229
PDGFRA	ENMD-981693	Not Approved	""	0.04530428924563805
PDGFRA	DOVITINIB	Not Approved	antineoplastic agent	0.02556776719803335
PDGFRA	NILOTINIB	Approved	antineoplastic agent	0.05379884347919518
PDGFRA	MASITINIB	Approved	antineoplastic agent,DMARD,antiinflammatory agent	0.1519026168824334
PDGFRA	SU-014813	Not Approved	""	0.1229687850953032
PDGFRA	AXITINIB	Approved	antineoplastic agent	0.03912643162123286
PDGFRA	PAZOPANIB	Approved	antineoplastic agent	0.08904636162073686
PDGFRA	ILORASERTIB	Not Approved	""	0.01484106027012281
PDGFRA	CEDIRANIB	Not Approved	antineoplastic agent	0.03130114529698629
PDGFRA	LINIFANIB	Not Approved	antineoplastic agent	0.02151953739167807
PDGFRA	PEGPLERANIB SODIUM	Not Approved	for treatment of age-related macular degeneration	0.1434635826111871
PDGFRA	CHEMBL:CHEMBL1997335	Not Approved	""	0.02049479751588387
PDGFRA	RIPRETINIB	Approved	""	0.5164688974002737
PDGFRA	VARGATEF	Not Approved	""	0.1075976869583903
PDGFRA	TAK-593	Not Approved	""	0.1721562991334246
PDGFRA	FAMITINIB	Not Approved	""	0.2459375701906065
PDGFRA	X-82	Not Approved	""	0.3443125982668492
PDGFRA	TANDUTINIB	Not Approved	antineoplastic agent	0.1229687850953032
PDGFRA	ZM447439	Not Approved	""	0.04530428924563805
PDGFRA	CENISERTIB	Not Approved	antineoplastic agent	0.007294758437856973
PDGFRA	LENVATINIB	Approved	antineoplastic agent	0.04782119420372905
PDGFRA	SERALUTINIB	Not Approved	""	0.1434635826111871
PDGFRA	XL820	Not Approved	antineoplastic agent	0.1434635826111871
PDGFRA	NVP-TAE684	Not Approved	""	0.008357101899680804
PDGFRA	RAMUCIRUMAB	Approved	antineoplastic agent	0.2869271652223742
PDGFRA	TELATINIB	Not Approved	antineoplastic agent	0.1229687850953032
PDGFRA	RG-1530	Not Approved	""	0.009157249953905561
PDGFRA	CYC-116	Not Approved	""	0.00887403603780539
PDGFRA	PD-0166285	Not Approved	""	0.01655349030129082
PDGFRA	BARASERTIB	Not Approved	""	0.07825286324246572
PDGFRA	AST-487	Not Approved	""	0.02099467062602739
PDGFRA	CP-547632	Not Approved	""	0.01956321581061643
PDGFRA	QUIZARTINIB	Approved	antineoplastic agent	0.04530428924563805
PDGFRA	VANDETANIB	Approved	antineoplastic agent	0.01484106027012281
PDGFRA	PP2	Not Approved	""	0.02869271652223743
PDGFRA	FORETINIB	Not Approved	antineoplastic agent	0.04530428924563805
PDGFRA	TAMATINIB	Not Approved	""	0.01062693204527312
PDGFRA	ROMIPLOSTIM	Approved	for treatment of thrombocytopenia	0.1075976869583903
PDGFRA	MEPOLIZUMAB	Approved	antiasthmatic agent,antiinflammatory agent	0.2869271652223742
BMP2	BUTAMBEN	Approved	""	4.375639269641208
BMP2	CHEMBL:CHEMBL1321401	Not Approved	""	26.25383561784724
BMP2	CHEMBL:CHEMBL1467165	Not Approved	""	26.25383561784724
BMP2	CHEMBL:CHEMBL1927048	Not Approved	""	26.25383561784724
IL18	TADEKINIG ALFA	Not Approved	""	2.763561643983921
IL18	GSK-1070806	Not Approved	""	8.290684931951763
IL18	DEXTRAN SULFATE SODIUM	Not Approved	""	0.6908904109959803
IL18	THERAPEUTIC CORTICOSTEROID	Not Approved	""	0.1348078850723864
IL18	CAMOTESKIMAB	Not Approved	""	2.763561643983921
IL18	INTERFERON ALFA-2B	Approved	Antineoplastic Agents; Immunomodulatory Agents,for treatment of hepatitis B and C,for treatment of hepatitis,for treatment of hepatitis C	0.3947945205691315
IL18	IBOCTADEKIN	Not Approved	""	0.9211872146613068
IL18	4-PHENYLENEDIAMINE	Not Approved	""	0.789589041138263
IL18	RECOMBINANT INTERFERON	Not Approved	""	0.1417211099478933
IL18	PEGINTERFERON ALFA-2B	Approved	""	0.172722602748995
IL18	COLCHICINE	Approved	for treatment of gout	0.10629083246092
IL18	ANTIVIRAL AGENT	Not Approved	""	0.6141248097742047
IL18	PEGINTERFERON ALFA-2A	Approved	for treatment of hepatitis B and C,Antineoplastic Agents; Immunomodulatory Agents	0.1905904582057876
IL18	CAMOTESKIMAB	Not Approved	""	5.527123287967842
IL18	RIBAVIRIN	Approved	""	0.145450612841259
IL18	ANHYDROUS TACROLIMUS	Approved	immunosuppressant	0.1973972602845657
IL18	THYROXINE	Not Approved	""	0.4605936073306534
IL18	MYCOPHENOLATE	Approved	immunosuppressant	0.251232876725811
IL18	SYNTHETIC HUMAN PAPILLOMAVIRUS 16 E6 PEPTIDE	Not Approved	""	5.527123287967842
CSF2RB	TAGRAXOFUSP-ERZS	Approved	""	2.917092846427472
CSF2RB	MAVRILIMUMAB	Not Approved	DMARD,antiinflammatory agent	2.917092846427472
CSF2RB	SARGRAMOSTIM	Approved	for treatment of Chron's disease,for treatment of leukopenia	13.12691780892362
CSF2RB	LERIDISTIM	Not Approved	""	4.375639269641208
CSF2RB	CIBINETIDE	Not Approved	""	2.187819634820604
CSF2RB	TALACOTUZUMAB	Not Approved	""	8.751278539282415
AMH	TESTOSTERONE	Approved	for treatment of female sexual dysfunction,hormone replacement	0.6335767268258763
AMH	12-HYDROXYHEPTADECATRIENOIC ACID	Not Approved	""	3.088686543276147
AMH	CAY10583	Not Approved	""	3.088686543276147
AMH	15S-HETE	Not Approved	""	3.088686543276147
AMH	12-EPI LTB4	Not Approved	""	3.088686543276147
AMH	TRETINOIN	Approved	for treatment of acne	0.1018248310970158
AMH	[3H]LTB4	Not Approved	""	1.544343271638073
AMH	LTB4	Not Approved	""	0.7721716358190367
AMH	THERAPEUTIC HORMONE	Not Approved	""	0.1403948428761885
AMH	ZK-158252	Not Approved	""	3.088686543276147
AMH	DIETHYLSTILBESTROL	Approved	Hormone Replacement Agents	0.280789685752377
AMH	HUMAN CHORIONIC GONADOTROPIN	Approved	""	0.325124899292226
AMH	LY255283	Not Approved	""	1.544343271638073
AMH	THERAPEUTIC GONADOTROPIN	Not Approved	""	1.323722804261206
AMH	ETHINYL ESTRADIOL	Approved	contraceptive	0.3088686543276147
AMH	12S-HETE	Not Approved	""	3.088686543276147
AMH	CP-195543	Not Approved	""	1.544343271638073
CISH	EPOETIN ALFA	Approved	for treatment of anemia,Antianemic Agents,for treatment of stroke,erythropoietic agent	3.088686543276147
ITGA2	VATELIZUMAB	Not Approved	""	26.25383561784724
ITGA2	E-7820	Not Approved	""	26.25383561784724
CCL3	ADJUVANT	Not Approved	""	2.333674277141977
CCL3	INFLIXIMAB-DYYB	Approved	DMARD,antiinflammatory agent	1.12919723087515
CCL3	NAGRESTIPEN	Not Approved	""	17.50255707856483
CCR10	FTI 276	Not Approved	""	5.250767123569449
CCR10	LB42908	Not Approved	""	10.50153424713889
CCR10	TIPIFARNIB	Not Approved	antineoplastic agent	1.166837138570989
CCR10	BMS-214662	Not Approved	""	10.50153424713889
CCR10	L-739,750	Not Approved	""	10.50153424713889
IL21	NNC0114-0006	Not Approved	""	17.50255707856483
IL21	NNC0114-0006	Not Approved	""	17.50255707856483
IL21	IL-21	Not Approved	""	17.50255707856483
CSH2	BENSERAZIDE	Approved	""	3.750547945406749
CSH2	AMINOOXYACETIC ACID	Not Approved	""	8.751278539282415
CD27	INHIBITOR E18	Not Approved	""	7.5010958908135
CD27	INHIBITOR CB3	Not Approved	""	7.5010958908135
CD27	VARLILUMAB	Not Approved	""	15.002191781627
CD27	INHIBITOR E4	Not Approved	""	7.5010958908135
CD27	BENZTROPINE	Approved	Antiparkinson Agents	1.875273972703375
CD27	PROTEASE INHIBITOR	Not Approved	""	0.7501095890813501
CD27	CINROMIDE	Not Approved	""	7.5010958908135
PTK2	ILORASERTIB	Not Approved	""	0.01676490141624984
PTK2	MASITINIB	Approved	antineoplastic agent,DMARD,antiinflammatory agent	0.1143957978991165
PTK2	CHEMBL:CHEMBL1997335	Not Approved	""	0.04630306105440431
PTK2	TETRADECANOYLPHORBOL ACETATE	Not Approved	""	0.08455341583847745
PTK2	VS-4718	Not Approved	""	3.889457128569962
PTK2	PD-0166285	Not Approved	""	0.03739862623624965
PTK2	MLN-8054	Not Approved	antineoplastic agent	0.06705960566499936
PTK2	LINIFANIB	Not Approved	antineoplastic agent	0.02430910705356227
PTK2	PF-562271	Not Approved	""	0.09003372982800839
PTK2	CONTELTINIB	Not Approved	""	0.4861821410712453
PTK2	CHEMBL:CHEMBL2333445	Not Approved	""	3.889457128569962
PTK2	BI-853520	Not Approved	""	3.889457128569962
PTK2	GSK-2256098	Not Approved	""	3.889457128569962
PTK2	TAMATINIB	Not Approved	""	0.02400899462080223
PTK2	CHEMBL:CHEMBL456559	Not Approved	""	1.944728564284981
PTK2	ENMD-2076	Not Approved	antineoplastic agent	0.06273317949306392
PTK2	CEP-37440	Not Approved	""	1.944728564284981
PTK2	ALISERTIB	Not Approved	antineoplastic agent	0.04321619031744403
PTK2	RG-1530	Not Approved	""	0.02068860174771256
PTK2	PAZOPANIB	Approved	antineoplastic agent	0.03352980283249968
PTK2	HESPERADIN	Not Approved	""	0.04861821410712454
PTK2	ENTRECTINIB	Approved	""	0.03411804498745581
PTK2	SNS-314	Not Approved	antineoplastic agent	0.04630306105440431
PTK2	ADAVOSERTIB	Not Approved	antineoplastic agent	0.06945459158160647
PTK2	GW843682X	Not Approved	""	0.04986483498166619
PTK2	CHLORPYRAMIN HYDROCHLORIDE	Not Approved	""	1.944728564284981
PTK2	DEFACTINIB	Not Approved	antineoplastic agent	2.917092846427472
FASLG	[111IN,90Y]DOTA-TOC	Not Approved	""	0.2302968036653267
FASLG	BIM 23052	Not Approved	""	0.138178082199196
FASLG	GA-KE88	Not Approved	""	0.6908904109959803
FASLG	DOTA-BASS	Not Approved	""	0.6908904109959803
FASLG	[L-TYR8]CYN 154806	Not Approved	""	0.138178082199196
FASLG	BIM 23027	Not Approved	""	0.6908904109959803
FASLG	BIM 23056	Not Approved	""	0.2302968036653267
FASLG	[111IN,90Y]DOTA-LAN	Not Approved	""	0.2302968036653267
FASLG	L-363,377	Not Approved	""	0.6908904109959803
FASLG	ANALOG 3 [PMID:18543899]	Not Approved	""	0.6908904109959803
FASLG	[D-TYR8]CYN 154806	Not Approved	""	0.138178082199196
FASLG	[GA-DOTA,TYR3,THR8]OCTREOTIDE	Not Approved	""	0.6908904109959803
FASLG	GA-DOTA-NOC	Not Approved	""	0.6908904109959803
FASLG	Y-KE88	Not Approved	""	0.6908904109959803
FASLG	SRIF-28	Not Approved	""	0.08636130137449753
FASLG	ASUNERCEPT	Not Approved	antineoplastic agent	0.6908904109959803
FASLG	[125I]LTT-SRIF-28	Not Approved	""	0.138178082199196
FASLG	BIM 23060	Not Approved	""	0.3454452054979901
FASLG	NOC-ATE	Not Approved	""	0.2302968036653267
FASLG	OCTREOTIDE ACETATE	Approved	antihypertensive agent,antineoplastic agent	0.03838280061088779
FASLG	VELDOREOTIDE	Not Approved	hormone replacement	0.09869863014228288
FASLG	BIM 23059	Not Approved	""	0.3454452054979901
FASLG	NC 8-12	Not Approved	""	0.3454452054979901
FASLG	CISPLATIN	Approved	""	0.009529522910289382
FASLG	BASS ANTAGONIST	Not Approved	""	0.6908904109959803
FASLG	GA-NODAGA-LM3	Not Approved	""	0.6908904109959803
FASLG	BIM 23023	Not Approved	""	0.2302968036653267
FASLG	BOC-ATE	Not Approved	""	0.2302968036653267
FASLG	BIM 23197	Not Approved	""	0.2302968036653267
FASLG	BIM 23627	Not Approved	""	0.138178082199196
FASLG	[111IN]DOTA-NOC	Not Approved	""	0.2302968036653267
FASLG	PASIREOTIDE	Approved	for treatment of acromegaly,antineoplastic agent	0.08636130137449753
FASLG	L-363,301	Not Approved	""	0.2302968036653267
FASLG	DC 23-60	Not Approved	""	0.6908904109959803
FASLG	CST-17	Not Approved	""	0.138178082199196
FASLG	BIM 23454	Not Approved	""	0.138178082199196
FASLG	[111IN,90Y]DOTA-NOC	Not Approved	""	0.2302968036653267
FASLG	[125I]TYR10-CST14	Not Approved	""	0.138178082199196
FASLG	SRIF-14	Not Approved	""	0.138178082199196
FASLG	DEMOTATE 2	Not Approved	""	0.6908904109959803
FASLG	ANALOG 32 [PMID:18543899]	Not Approved	""	0.3454452054979901
FASLG	EC 5-21	Not Approved	""	0.6908904109959803
FASLG	VAPREOTIDE	Approved	for treatment of liver cirrhosis-related variceal bleeding	0.09869863014228288
FASLG	BIM 23068	Not Approved	""	0.2302968036653267
FASLG	CORTISTATIN-14	Not Approved	""	0.1151484018326633
FASLG	DOTA-JR11	Not Approved	""	0.6908904109959803
FASLG	[125I][TYR3,THR8]OCTREOTIDE	Not Approved	""	0.6908904109959803
FASLG	L-779,976	Not Approved	""	0.6908904109959803
FASLG	DOXORUBICIN HYDROCHLORIDE	Approved	antineoplastic agent	0.00921187214661307
FASLG	[125I]CGP 23996	Not Approved	""	0.138178082199196
FASLG	BIM 23034	Not Approved	""	0.3454452054979901
FASLG	L-362,855	Not Approved	""	0.138178082199196
FASLG	L-054,522	Not Approved	""	0.6908904109959803
FASLG	SIFA-ASN(ACNH-&BETA;-GLC)-PEG-TYR3-OCTREOTATE	Not Approved	""	0.6908904109959803
FASLG	CGP 23996	Not Approved	""	0.138178082199196
FASLG	[67GA]NODAGA-[TYR3]OCTREOTIDE	Not Approved	""	0.6908904109959803
FASLG	EDOTREOTIDE	Not Approved	""	0.6908904109959803
FASLG	IN-NODAGATOC	Not Approved	""	0.6908904109959803
FASLG	NODAGA-[TYR3]-OCTREOTIDE	Not Approved	""	0.6908904109959803
FASLG	ANALOG 31 [PMID:18543899]	Not Approved	""	0.6908904109959803
FASLG	MALTOTRIOSE-[125I][TYR3,THR8]OCTREOTIDE	Not Approved	""	0.6908904109959803
FASLG	BIM 23030	Not Approved	""	0.2302968036653267
FASLG	ACE INHIBITOR	Not Approved	""	0.1973972602845657
FASLG	SEGLITIDE	Not Approved	""	0.2302968036653267
FASLG	[125I]TYR3 SMS 201-995	Not Approved	""	0.3454452054979901
FASLG	NC 4-28B	Not Approved	""	0.2302968036653267
FASLG	LANREOTIDE ACETATE	Approved	for treatment of acromegaly	0.09869863014228288
FASLG	[111IN]DOTA-NOC-ATE	Not Approved	""	0.2302968036653267
FASLG	RECOMBINANT TUMOR NECROSIS FACTOR-BETA	Not Approved	""	0.6908904109959803
FASLG	ANALOG 30 [PMID:18543899]	Not Approved	""	0.6908904109959803
FASLG	[111IN]DOTA-BOC-ATE	Not Approved	""	0.2302968036653267
FASLG	[111IN,90Y]DOTA-OC	Not Approved	""	0.2302968036653267
FASLG	TYR3-OCTREOTIDE	Not Approved	""	0.6908904109959803
FASLG	SIFA-ASN(ACNH-&BETA;-GLC)-TYR3-OCTREOTATE	Not Approved	""	0.6908904109959803
FASLG	AM3	Not Approved	""	0.6908904109959803
FASLG	KE 108	Not Approved	""	0.138178082199196
SOCS1	ALDESLEUKIN	Approved	antineoplastic agent	1.750255707856483
SOCS1	INSULIN, REGULAR, HUMAN	Approved	for treatment of diabetic foot ulcers,antidiabetic	0.9907107780319716
IL13	DECTREKUMAB	Not Approved	for treatment of Chron's disease,antiinflammatory agent	4.375639269641208
IL13	TNX-650	Not Approved	antineoplastic agent	8.751278539282415
IL13	QAX-576	Not Approved	""	8.751278539282415
IL13	CNTO-5825	Not Approved	""	8.751278539282415
IL13	ANRUKINZUMAB	Not Approved	""	8.751278539282415
IL13	ROMILKIMAB	Not Approved	""	1.458546423213736
IL13	ADALIMUMAB-ADBM	Approved	DMARD,antiinflammatory agent	0.2651902587661338
IL13	ROMILKIMAB	Not Approved	""	2.187819634820604
IL13	CENDAKIMAB	Not Approved	""	4.375639269641208
IL13	LEBRIKIZUMAB	Not Approved	""	8.751278539282415
IL13	TRALOKINUMAB	Approved	antiasthmatic agent	6.563458904461812
IL13	USTEKINUMAB	Approved	DMARD,antiinflammatory agent,Antipsoriatic Agents	0.4375639269641209
COL6A3	OCRIPLASMIN	Approved	""	0.3454452054979901
COL6A3	COLLAGENASE CLOSTRIDIUM HISTOLYTICUM-AAES	Approved	for treatment of Dupuytren's contracture	0.4688184931758437
COL6A3	ESI-09	Not Approved	""	6.563458904461812
COL6A3	HJC 0350	Not Approved	""	13.12691780892362
IL10RA	PEGILODECAKIN	Not Approved	""	13.12691780892362
IL4	PASCOLIZUMAB	Not Approved	""	21.00306849427779
IL4	ROMILKIMAB	Not Approved	""	5.250767123569449
IL4	ASPIRIN	Approved	NSAID,antithrombotic,anticoagulant	0.1489579325835304
IL4	TEPOXALIN	Not Approved	""	5.250767123569449
IL4	ROMILKIMAB	Not Approved	""	3.500511415712966
TNFRSF18	ANTI-GITR MONOCLONAL ANTIBODY MK-4166	Not Approved	""	13.12691780892362
TNFRSF18	ANTI-HUMAN GITR MONOCLONAL ANTIBODY TRX518	Not Approved	antineoplastic agent	13.12691780892362
TNFRSF18	TRX-518	Not Approved	""	26.25383561784724
TNFRSF18	RAGIFILIMAB	Not Approved	""	13.12691780892362
EFNA1	NEMTABRUTINIB	Not Approved	""	0.9546849315580819
EFNA1	IBRUTINIB	Approved	antineoplastic agent	0.1446492320542548
EFNA1	ACALABRUTINIB	Approved	""	0.280789685752377
EFNA1	ZYBT1	Not Approved	""	1.591141552596802
EFNA1	BIIB091	Not Approved	""	1.591141552596802
EFNA1	BMX-IN-1	Not Approved	""	4.773424657790408
EFNA1	PRN694	Not Approved	""	0.6819178082557726
EFNA1	COMPOUND 31 [PMID: 24915291]	Not Approved	""	0.9546849315580819
EFNA1	COMPOUND 38 [PMID: 24915291]	Not Approved	""	0.596678082223801
EFNA1	JNJ-64264681	Not Approved	""	1.193356164447602
EFNA1	COMPOUND 9 [PMID: 26006010]	Not Approved	""	0.7955707762984013
IL11	RECOMBINANT FIBROBLAST GROWTH FACTOR 2	Not Approved	""	1.193356164447602
IL11	ALENDRONATE SODIUM	Approved	Bisphosphonates	1.093909817410302
IL11	FLUOROURACIL	Approved	""	0.1654653505326507
IL11	DOXORUBICIN HYDROCHLORIDE	Approved	antineoplastic agent	0.08751278539282416
IL11	ETIDRONIC ACID	Approved	""	0.9376369863516874
IL11	ANTISENSE OLIGONUCLEOTIDES	Not Approved	""	0.3977853881492008
IL11	CITALOPRAM	Approved	antidepressant,Second-Generation,Antidepressive Agents	0.5625821918110125
IL11	AZACITIDINE	Approved	antineoplastic agent	0.3281729452230906
PRKCA	BRYOSTATIN 1	Not Approved	antineoplastic agent	0.1562728310586145
PRKCA	HYDROCHLOROTHIAZIDE	Approved	antihypertensive agent	0.09512259281828712
PRKCA	DIURETIC	Not Approved	""	0.364636605803434
PRKCA	REDIOCIDE A	Not Approved	""	2.187819634820604
PRKCA	CEP-2563	Not Approved	""	0.1286952726365061
PRKCA	TRISMETHOXYRESVERATROL	Not Approved	""	4.375639269641208
PRKCA	BRYOSTATIN	Not Approved	for treatment of alzheimer's disease	0.546954908705151
PRKCA	DIMETHYLSPINGOSINE	Not Approved	""	1.458546423213736
PRKCA	CHEMBL:CHEMBL27768	Not Approved	""	0.8751278539282418
PRKCA	QUERCETIN	Approved	""	0.02769391942810891
PRKCA	APRINOCARSEN	Not Approved	""	1.093909817410302
PRKCA	SOTRASTAURIN ACETATE	Not Approved	""	0.4375639269641209
PRKCA	4-PHENYLBUTYRIC ACID	Approved	""	0.1093909817410302
PRKCA	UCN-01	Not Approved	""	0.1093909817410302
PRKCA	MIDOSTAURIN	Approved	antineoplastic agent	0.1215455352678113
PRKCA	ENOXOLONE	Not Approved	""	0.4375639269641209
PRKCA	CI-1040	Not Approved	""	0.1215455352678113
PRKCA	PHORBOL 12-MYRISTATE 13-ACETATE	Not Approved	""	0.2917092846427472
PRKCA	BEVACIZUMAB-AWWB	Approved	antineoplastic agent	0.1093909817410302
PRKCA	INGENOL MEBUTATE	Approved	antineoplastic agent,for treatment of actinic keratosis	0.1367387271762877
PRKCA	ENZASTAURIN	Not Approved	antineoplastic agent	0.182318302901717
PRKCA	GSK-690693	Not Approved	""	0.1286952726365061
PRKCA	SOTRASTAURIN	Not Approved	""	0.03586589565279679
PRKCA	RESVERATROL	Approved	antineoplastic agent,antidiabetic,for treatment of herpes simplex virus 1	0.0892987606049226
ITGA2B	TIROFIBAN HYDROCHLORIDE	Approved	""	2.187819634820604
ITGA2B	ABCIXIMAB	Approved	anticoagulant	3.64636605803434
ITGA2B	ANGIOGENESIS INHIBITOR	Not Approved	""	0.729273211606868
ITGA2B	EPTIFIBATIDE	Approved	antiplatelet agent	3.500511415712967
ITGA2B	GANTOFIBAN	Not Approved	antiatherosclerotic agent,antithrombotic	2.187819634820604
ITGA2B	THROMBIN	Approved	topical tissue sealant,for treatment of hemophilia B,coagulant	0.546954908705151
ITGA2B	ALTEPLASE	Approved	Thrombolytic agent	0.4375639269641209
ITGA2B	TIROFIBAN	Approved	Platelet Aggregation Inhibitors	3.500511415712967
ITGA2B	ENOXAPARIN SODIUM	Approved	anticoagulant	2.187819634820604
ITGA2B	TADOCIZUMAB	Not Approved	""	2.187819634820604
ITGA2B	ZALUNFIBAN	Not Approved	""	2.187819634820604
ITGA2B	ASPIRIN	Approved	NSAID,antithrombotic,anticoagulant	0.09309870786470655
IL31RA	NEMOLIZUMAB	Not Approved	""	26.25383561784724
IL31RA	NEMOLIZUMAB	Not Approved	""	26.25383561784724
