ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0045669,positive regulation of osteoblast differentiation,7/360,77/18888,0.090909091,4.76969697,4.620237821,0.000660052,0.08790507,0.081190517,55603/1050/2201/4037/3082/8840/182,7
GO:0006935,chemotaxis,20/360,466/18888,0.042918455,2.251788269,3.813940524,0.000665948,0.08790507,0.081190517,5054/8817/6036/57556/1843/5800/566/56670/4856/3082/2920/1441/2207/5319/2252/9048/2921/6280/3815/3965,20
GO:0042330,taxis,20/360,468/18888,0.042735043,2.242165242,3.792939853,0.00070218,0.089491623,0.082655882,5054/8817/6036/57556/1843/5800/566/56670/4856/3082/2920/1441/2207/5319/2252/9048/2921/6280/3815/3965,20
GO:2000241,regulation of reproductive process,12/360,214/18888,0.056074766,2.942056075,3.982616095,0.00086288,0.106002101,0.097905221,431705/10184/1843/182/6469/5028/89766/6615/23213/11105/3815/6954,12
GO:0048167,regulation of synaptic plasticity,12/360,216/18888,0.055555556,2.914814815,3.945269769,0.00093554,0.106002101,0.097905221,575/23237/7305/22941/815/5582/85358/9463/1139/3815/79772/10769,12
GO:0007162,negative regulation of cell adhesion,15/360,310/18888,0.048387097,2.538709677,3.807645627,0.000948689,0.106002101,0.097905221,5054/57556/1843/5800/441478/9314/11326/182/6469/8324/91663/10395/1378/10653/3965,15
GO:0043406,positive regulation of MAP kinase activity,7/360,82/18888,0.085365854,4.478861789,4.400624931,0.0009623,0.106002101,0.097905221,8817/150/7099/1950/5319/56034/3815,7
GO:0019730,antimicrobial humoral response,9/360,132/18888,0.068181818,3.577272727,4.141862728,0.000975128,0.106002101,0.097905221,374383/566/3512/4069/2920/5319/2921/6280/8347,9
GO:0045637,regulation of myeloid cell differentiation,12/360,218/18888,0.055045872,2.888073394,3.908349831,0.001013228,0.106996872,0.098824008,1440/4286/8367/9935/3304/8363/2623/7305/1441/182/7099/338382,12
GO:0032418,lysosome localization,7/360,84/18888,0.083333333,4.372222222,4.317667327,0.001109965,0.110876457,0.102407254,2268/401258/2623/94121/6571/3815/3965,7
GO:1990849,vacuolar localization,7/360,84/18888,0.083333333,4.372222222,4.317667327,0.001109965,0.110876457,0.102407254,2268/401258/2623/94121/6571/3815/3965,7
GO:0032733,positive regulation of interleukin-10 production,5/360,42/18888,0.119047619,6.246031746,4.744215802,0.001165976,0.113406553,0.104744091,3082/9308/7099/64581/3965,5
GO:0042116,macrophage activation,8/360,110/18888,0.072727273,3.815757576,4.12843457,0.001221054,0.113514152,0.104843471,1050/566/161145/56670/7305/11326/7099/9173,8
GO:0032757,positive regulation of interleukin-8 production,6/360,63/18888,0.095238095,4.996825397,4.429313582,0.001251845,0.113514152,0.104843471,5054/3304/7099/5319/64581/3965,6
GO:0008543,fibroblast growth factor receptor signaling pathway,7/360,87/18888,0.08045977,4.221455939,4.197974699,0.001364169,0.113514152,0.104843471,8817/131405/2250/90993/2252/23213/3340,7
GO:0048872,homeostasis of number of cells,15/360,322/18888,0.046583851,2.444099379,3.643210907,0.001384717,0.113514152,0.104843471,9935/3304/2623/4856/338442/80739/3957/7373/6708/7846/3815/3965/124976/25893/202309,15
GO:0050890,cognition,15/360,322/18888,0.046583851,2.444099379,3.643210907,0.001384717,0.113514152,0.104843471,23237/56924/9379/22941/338811/161582/5577/5582/7846/627/85358/1139/3815/25946/10769,15
GO:0060326,cell chemotaxis,15/360,322/18888,0.046583851,2.444099379,3.643210907,0.001384717,0.113514152,0.104843471,5054/8817/1843/5800/566/4856/3082/2920/1441/2207/5319/2921/6280/3815/3965,15
GO:0042537,benzene-containing compound metabolic process,4/360,26/18888,0.153846154,8.071794872,5.029686636,0.001392275,0.113514152,0.104843471,51166/23498/116285/8942,4
GO:0006898,receptor-mediated endocytosis,13/360,259/18888,0.05019305,2.633462033,3.689628369,0.001471064,0.113514152,0.104843471,5054/23237/81693/6424/4037/6614/1950/2207/22925/2209/9463/133/1759,13
GO:0032613,interleukin-10 production,6/360,65/18888,0.092307692,4.843076923,4.326231988,0.00147421,0.113514152,0.104843471,7305/3082/9308/7099/64581/3965,6
GO:0032653,regulation of interleukin-10 production,6/360,65/18888,0.092307692,4.843076923,4.326231988,0.00147421,0.113514152,0.104843471,7305/3082/9308/7099/64581/3965,6
GO:0051092,positive regulation of NF-kappaB transcription factor activity,9/360,141/18888,0.063829787,3.34893617,3.902414095,0.001549301,0.116861533,0.107935165,3304/7099/5319/815/64581/338382/6280/3965/25893,9
GO:0014061,regulation of norepinephrine secretion,3/360,13/18888,0.230769231,12.10769231,5.584322695,0.001703737,0.123470818,0.114039605,151/150/5028,3
GO:0033604,negative regulation of catecholamine secretion,3/360,13/18888,0.230769231,12.10769231,5.584322695,0.001703737,0.123470818,0.114039605,151/150/5028,3
GO:0002443,leukocyte mediated immunity,19/360,469/18888,0.040511727,2.125515281,3.440513471,0.001756788,0.124867103,0.115329236,5819/374383/2268/566/401258/2623/7305/182/7099/2207/5319/2209/6571/64581/1378/3543/3815/3965/202309,19
GO:0006909,phagocytosis,12/360,237/18888,0.050632911,2.656540084,3.577202542,0.002056497,0.14341155,0.132457182,575/2268/566/7305/7099/2207/5199/5582/2209/64581/338382/389610,12
GO:0006910,"phagocytosis, recognition",4/360,29/18888,0.137931034,7.236781609,4.68509795,0.002114708,0.143669262,0.132695209,575/5199/2209/64581,4
GO:0048243,norepinephrine secretion,3/360,14/18888,0.214285714,11.24285714,5.344063718,0.002137935,0.143669262,0.132695209,151/150/5028,3
GO:0097529,myeloid leukocyte migration,12/360,239/18888,0.050209205,2.634309623,3.544247025,0.002204743,0.145513023,0.134398135,5054/1843/5800/566/4856/2920/1441/2207/5319/2921/6280/3815,12
GO:0016331,morphogenesis of embryonic epithelium,9/360,150/18888,0.06,3.148,3.681601335,0.002368137,0.153554996,0.14182583,131405/220/5754/6469/10395/23213/133/57167/10653,9
GO:0035082,axoneme assembly,7/360,97/18888,0.072164948,3.786254296,3.834865543,0.002552106,0.162630775,0.150208363,145788/55329/89765/161582/23639/254050/136332,7
GO:0007612,learning,9/360,153/18888,0.058823529,3.08627451,3.61167604,0.002706814,0.163533572,0.1510422,23237/56924/9379/22941/338811/5577/7846/85358/3815,9
GO:0050729,positive regulation of inflammatory response,9/360,153/18888,0.058823529,3.08627451,3.61167604,0.002706814,0.163533572,0.1510422,5054/1050/56670/8840/3957/7099/2209/6280/9173,9
GO:0035590,purinergic nucleotide receptor signaling pathway,4/360,31/18888,0.129032258,6.769892473,4.48157569,0.002718991,0.163533572,0.1510422,55/53829/5028/9127,4
GO:0006690,icosanoid metabolic process,8/360,125/18888,0.064,3.357866667,3.686732094,0.002743258,0.163533572,0.1510422,552/8529/5319/1572/11283/2687/1558/8644,8
GO:0009913,epidermal cell differentiation,12/360,246/18888,0.048780488,2.559349593,3.431494148,0.002793976,0.163913283,0.151392908,23764/9935/6424/9314/1475/182/1747/3868/2125/25861/3872/8644,12
GO:0007613,memory,8/360,126/18888,0.063492063,3.331216931,3.65971162,0.002881852,0.166426944,0.153714564,23237/56924/338811/7846/627/85358/1139/10769,8
GO:0045807,positive regulation of endocytosis,9/360,155/18888,0.058064516,3.046451613,3.566006517,0.002953126,0.167919285,0.155092915,5054/6424/566/1950/2207/5199/2209/9463/64581,9
GO:0050764,regulation of phagocytosis,7/360,100/18888,0.07,3.672666667,3.735278525,0.003030155,0.168297088,0.155441859,2268/566/2207/5199/5582/2209/64581,7
GO:0035176,social behavior,5/360,52/18888,0.096153846,5.044871795,4.071276152,0.00305084,0.168297088,0.155441859,5413/9379/552/22941/85358,5
GO:0010832,negative regulation of myotube differentiation,3/360,16/18888,0.1875,9.8375,4.929455197,0.003197514,0.169847561,0.156873901,4856/627/79365,3
GO:0090136,epithelial cell-cell adhesion,3/360,16/18888,0.1875,9.8375,4.929455197,0.003197514,0.169847561,0.156873901,3801/4856/3815,3
GO:2001236,regulation of extrinsic apoptotic signaling pathway,9/360,157/18888,0.057324841,3.007643312,3.521067658,0.00321681,0.169847561,0.156873901,219699/5054/3655/3304/2623/3082/4055/7099/64798,9
GO:0032677,regulation of interleukin-8 production,7/360,102/18888,0.068627451,3.600653595,3.670995945,0.003384989,0.176210141,0.16275048,5054/3304/9314/7099/5319/64581/3965,7
GO:0032637,interleukin-8 production,7/360,103/18888,0.067961165,3.565695793,3.639457433,0.003573862,0.179775238,0.166043261,5054/3304/9314/7099/5319/64581/3965,7
GO:0050805,negative regulation of synaptic transmission,5/360,54/18888,0.092592593,4.858024691,3.957391979,0.003599396,0.179775238,0.166043261,23237/22941/85358/9463/10769,5
GO:0051703,biological process involved in intraspecies interaction between organisms,5/360,54/18888,0.092592593,4.858024691,3.957391979,0.003599396,0.179775238,0.166043261,5413/9379/552/22941/85358,5
GO:0002730,regulation of dendritic cell cytokine production,3/360,17/18888,0.176470588,9.258823529,4.74857891,0.003828317,0.18753214,0.173207659,7099/64581/3815,3
GO:0007015,actin filament organization,18/360,467/18888,0.038543897,2.022269807,3.11806987,0.003888089,0.18753214,0.173207659,1440/246176/4868/83543/283446/8522/5319/6708/79778/91663/85358/9463/85462/375307/10395/6710/84952/84327,18
GO:0045860,positive regulation of protein kinase activity,12/360,257/18888,0.046692607,2.449805447,3.261945311,0.003973141,0.18753214,0.173207659,8817/151/566/150/7099/1950/5319/2209/56034/1942/3815/9966,12
GO:0043299,leukocyte degranulation,6/360,79/18888,0.075949367,3.984810127,3.705662575,0.003974047,0.18753214,0.173207659,2268/401258/2623/6571/3815/3965,6
GO:0030100,regulation of endocytosis,13/360,291/18888,0.04467354,2.343871707,3.220337053,0.004031873,0.18753214,0.173207659,5054/23237/2268/6424/566/1950/2207/5199/5582/2209/9463/64581/79772,13
GO:0045055,regulated exocytosis,11/360,225/18888,0.048888889,2.565037037,3.291877157,0.004059137,0.18753214,0.173207659,2268/5413/401258/2623/150/5028/2901/5582/6571/3815/3965,11
GO:0043405,regulation of MAP kinase activity,8/360,134/18888,0.059701493,3.132338308,3.452868367,0.004196983,0.191506802,0.17687872,8817/1843/150/7099/1950/5319/56034/3815,8
GO:0097061,dendritic spine organization,6/360,81/18888,0.074074074,3.886419753,3.628780546,0.004495677,0.197841266,0.182729331,23237/85358/9463/1139/1942/91752,6
GO:0002371,dendritic cell cytokine production,3/360,18/18888,0.166666667,8.744444444,4.582041736,0.004529702,0.197841266,0.182729331,7099/64581/3815,3
GO:0019373,epoxygenase P450 pathway,3/360,18/18888,0.166666667,8.744444444,4.582041736,0.004529702,0.197841266,0.182729331,8529/1572/1558,3
GO:0002886,regulation of myeloid leukocyte mediated immunity,5/360,57/18888,0.087719298,4.602339181,3.796678364,0.004549921,0.197841266,0.182729331,2268/2623/7305/2209/3965,5
GO:0060291,long-term synaptic potentiation,7/360,108/18888,0.064814815,3.400617284,3.487429861,0.004641144,0.199461252,0.184225575,23237/7305/22941/5582/85358/1139/10769,7
GO:0030041,actin filament polymerization,9/360,167/18888,0.053892216,2.82754491,3.30658919,0.004825507,0.205000867,0.189342052,1440/4868/8522/6708/79778/91663/85462/375307/6710,9
GO:0048168,regulation of neuronal synaptic plasticity,5/360,58/18888,0.086206897,4.522988506,3.745575301,0.004902981,0.205925183,0.190195764,23237/815/85358/3815/79772,5
GO:0050878,regulation of body fluid levels,15/360,370/18888,0.040540541,2.127027027,3.051803892,0.005141425,0.213075705,0.1968001,5054/10551/151/5800/2623/150/8529/80739/4883/7099/2207/6469/5028/133/25946,15
GO:0007599,hemostasis,11/360,233/18888,0.0472103,2.476967096,3.162056484,0.005262295,0.213075705,0.1968001,5054/151/2623/150/8529/80739/7099/2207/6469/5028/25946,11
GO:1903409,reactive oxygen species biosynthetic process,5/360,59/18888,0.084745763,4.446327684,3.695620915,0.005275043,0.213075705,0.1968001,575/4353/7099/1536/6571,5
GO:0071625,vocalization behavior,3/360,19/18888,0.157894737,8.284210526,4.427956206,0.005303832,0.213075705,0.1968001,9379/22941/85358,3
GO:0007411,axon guidance,11/360,234/18888,0.047008547,2.466381766,3.146208237,0.005430639,0.213528092,0.197217932,219699/57556/5800/5754/91653/6469/9048/627/7204/1942/54538,11
GO:0097485,neuron projection guidance,11/360,234/18888,0.047008547,2.466381766,3.146208237,0.005430639,0.213528092,0.197217932,219699/57556/5800/5754/91653/6469/9048/627/7204/1942/54538,11
GO:0001503,ossification,17/360,446/18888,0.038116592,1.999850523,2.978632805,0.005519166,0.214724602,0.198323047,55603/8817/6696/1050/2268/2201/7059/4037/4330/2623/3082/8840/90993/182/6469/285313/6615,17
GO:0046456,icosanoid biosynthetic process,5/360,60/18888,0.083333333,4.372222222,3.646768425,0.005666641,0.218165662,0.201501265,552/5319/2687/1558/8644,5
GO:0051347,positive regulation of transferase activity,15/360,376/18888,0.039893617,2.093085106,2.984280892,0.005939019,0.224670329,0.207509079,8817/151/566/9314/150/91947/7099/1950/5319/2209/56034/1139/1942/3815/9966,15
GO:0023061,signal release,18/360,487/18888,0.036960986,1.939219713,2.927045251,0.005957168,0.224670329,0.207509079,6696/151/5413/56670/401258/9379/4856/8864/150/338442/5028/815/2901/5582/9463/94121/6571/79772,18
GO:0051048,negative regulation of secretion,9/360,173/18888,0.052023121,2.729479769,3.185386179,0.006054774,0.226044895,0.20877865,151/4856/150/8529/1950/22925/5028/94121/3965,9
GO:0072593,reactive oxygen species metabolic process,11/360,238/18888,0.046218487,2.424929972,3.083621404,0.006146988,0.227192688,0.20983877,575/7305/4353/7099/22925/1536/10811/6571/64581/3048/8644,11
GO:0002573,myeloid leukocyte differentiation,11/360,239/18888,0.046025105,2.414783821,3.068172199,0.006337184,0.231903302,0.214189567,1440/4286/1050/9935/2623/7305/4055/8840/7099/3815/9173,11
GO:0032731,positive regulation of interleukin-1 beta production,5/360,62/18888,0.080645161,4.231182796,3.552195133,0.006510537,0.235911211,0.217891336,566/7305/7099/64581/3965,5
GO:0061515,myeloid cell development,6/360,88/18888,0.068181818,3.577272727,3.377856993,0.006722609,0.239780844,0.22146539,2623/7305/80739/3815/25946/25893,6
GO:0044344,cellular response to fibroblast growth factor stimulus,7/360,116/18888,0.060344828,3.166091954,3.261888266,0.006826703,0.239780844,0.22146539,8817/131405/2250/90993/2252/23213/3340,7
GO:0032623,interleukin-2 production,5/360,63/18888,0.079365079,4.164021164,3.506393331,0.006963872,0.239780844,0.22146539,9454/11326/9308/64581/1378,5
GO:0032663,regulation of interleukin-2 production,5/360,63/18888,0.079365079,4.164021164,3.506393331,0.006963872,0.239780844,0.22146539,9454/11326/9308/64581/1378,5
GO:0030177,positive regulation of Wnt signaling pathway,8/360,146/18888,0.054794521,2.874885845,3.170018238,0.006982031,0.239780844,0.22146539,6424/441478/5754/8840/1950/6469/23213/84327,8
GO:0001843,neural tube closure,6/360,89/18888,0.06741573,3.537078652,3.34410596,0.007095996,0.239780844,0.22146539,131405/5754/10395/133/57167/10653,6
GO:0050672,negative regulation of lymphocyte proliferation,6/360,89/18888,0.06741573,3.537078652,3.34410596,0.007095996,0.239780844,0.22146539,7305/11326/6469/4332/1378/3965,6
GO:0050807,regulation of synapse organization,11/360,243/18888,0.04526749,2.375034294,3.00714204,0.007144621,0.239780844,0.22146539,575/23237/5800/79012/22941/7846/627/85358/1942/91752/22859,11
GO:0006887,exocytosis,14/360,348/18888,0.040229885,2.110727969,2.915150189,0.00720121,0.239780844,0.22146539,2268/5413/401258/2623/150/5866/5028/2901/5582/94121/6571/7127/3815/3965,14
GO:0032945,negative regulation of mononuclear cell proliferation,6/360,90/18888,0.066666667,3.497777778,3.310836231,0.007484158,0.2417265,0.223262429,7305/11326/6469/4332/1378/3965,6
GO:0060606,tube closure,6/360,90/18888,0.066666667,3.497777778,3.310836231,0.007484158,0.2417265,0.223262429,131405/5754/10395/133/57167/10653,6
GO:0008544,epidermis development,15/360,387/18888,0.03875969,2.033591731,2.863685871,0.007659048,0.2417265,0.223262429,23764/9935/6424/9314/1475/182/6469/2252/1747/6615/3868/2125/25861/3872/8644,15
GO:1903707,negative regulation of hemopoiesis,7/360,119/18888,0.058823529,3.08627451,3.182312575,0.007816956,0.2417265,0.223262429,1050/9935/8848/441478/7099/6469/1378,7
GO:0035148,tube formation,8/360,149/18888,0.053691275,2.817002237,3.103800939,0.007857051,0.2417265,0.223262429,131405/5754/1950/6469/10395/133/57167/10653,8
GO:0010812,negative regulation of cell-substrate adhesion,5/360,65/18888,0.076923077,4.035897436,3.417573174,0.007935864,0.2417265,0.223262429,5054/5800/182/8324/10395,5
GO:1905330,regulation of morphogenesis of an epithelium,5/360,65/18888,0.076923077,4.035897436,3.417573174,0.007935864,0.2417265,0.223262429,3082/1950/6469/2252/23213,5
GO:0007398,ectoderm development,3/360,22/18888,0.136363636,7.154545455,4.026112244,0.008081326,0.2417265,0.223262429,3655/6469/8324,3
GO:0060445,branching involved in salivary gland morphogenesis,3/360,22/18888,0.136363636,7.154545455,4.026112244,0.008081326,0.2417265,0.223262429,3082/6469/2252,3
GO:0061318,renal filtration cell differentiation,3/360,22/18888,0.136363636,7.154545455,4.026112244,0.008081326,0.2417265,0.223262429,4868/5800/182,3
GO:0072112,podocyte differentiation,3/360,22/18888,0.136363636,7.154545455,4.026112244,0.008081326,0.2417265,0.223262429,4868/5800/182,3
GO:0001890,placenta development,8/360,150/18888,0.053333333,2.798222222,3.082093731,0.008166285,0.2417265,0.223262429,6696/1050/51673/3856/1747/6615/133/10653,8
GO:0051154,negative regulation of striated muscle cell differentiation,4/360,42/18888,0.095238095,4.996825397,3.6145039,0.008211132,0.2417265,0.223262429,4856/8324/627/79365,4
GO:0045444,fat cell differentiation,11/360,248/18888,0.044354839,2.327150538,2.932523785,0.008264522,0.2417265,0.223262429,1050/9935/4037/8864/9314/8840/182/9658/7204/51316/25946,11
GO:0043588,skin development,13/360,318/18888,0.040880503,2.144863732,2.86998664,0.008305043,0.2417265,0.223262429,3655/9935/9314/1475/182/6469/2252/1747/6615/3868/2125/3872/8644,13
GO:0106027,neuron projection organization,6/360,92/18888,0.065217391,3.42173913,3.245689901,0.008306078,0.2417265,0.223262429,23237/85358/9463/1139/1942/91752,6
GO:0050803,regulation of synapse structure or activity,11/360,249/18888,0.044176707,2.317804552,2.917815601,0.00850401,0.243673548,0.225060753,575/23237/5800/79012/22941/7846/627/85358/1942/91752/22859,11
GO:0009612,response to mechanical stimulus,10/360,216/18888,0.046296296,2.429012346,2.944326085,0.008692365,0.243673548,0.225060753,2354/9379/4055/4353/7099/5028/7846/85358/3815/25861,10
GO:0042060,wound healing,16/360,430/18888,0.037209302,1.952248062,2.784264397,0.008696125,0.243673548,0.225060753,5054/151/2623/5754/150/8529/80739/8840/7099/2207/6469/5028/8324/94121/64581/2125,16
GO:0042554,superoxide anion generation,4/360,43/18888,0.093023256,4.880620155,3.551041611,0.008920063,0.243673548,0.225060753,7305/1536/10811/64581,4
GO:0006956,complement activation,5/360,67/18888,0.074626866,3.915422886,3.332238533,0.008998266,0.243673548,0.225060753,374383/11326/5199/1675/1378,5
GO:0045859,regulation of protein kinase activity,17/360,470/18888,0.036170213,1.897730496,2.747211798,0.009083237,0.243673548,0.225060753,8817/151/2268/1843/5800/566/150/7099/1950/5319/5577/2209/56034/1942/64798/3815/9966,17
GO:0015874,norepinephrine transport,3/360,23/18888,0.130434783,6.843478261,3.90863769,0.00916413,0.243673548,0.225060753,151/150/5028,3
GO:0018230,peptidyl-L-cysteine S-palmitoylation,3/360,23/18888,0.130434783,6.843478261,3.90863769,0.00916413,0.243673548,0.225060753,653082/254887/29800,3
GO:0018231,peptidyl-S-diacylglycerol-L-cysteine biosynthetic process from peptidyl-cysteine,3/360,23/18888,0.130434783,6.843478261,3.90863769,0.00916413,0.243673548,0.225060753,653082/254887/29800,3
GO:0030220,platelet formation,3/360,23/18888,0.130434783,6.843478261,3.90863769,0.00916413,0.243673548,0.225060753,2623/80739/25946,3
GO:0035855,megakaryocyte development,3/360,23/18888,0.130434783,6.843478261,3.90863769,0.00916413,0.243673548,0.225060753,80739/3815/25946,3
GO:0072311,glomerular epithelial cell differentiation,3/360,23/18888,0.130434783,6.843478261,3.90863769,0.00916413,0.243673548,0.225060753,4868/5800/182,3
GO:0071675,regulation of mononuclear cell migration,7/360,123/18888,0.056910569,2.985907859,3.080036303,0.009297301,0.243744644,0.225126419,5054/1843/4856/8174/3965/148823/124976,7
GO:0051258,protein polymerization,12/360,287/18888,0.041811847,2.193728223,2.840512687,0.0092987,0.243744644,0.225126419,1440/4868/3304/8522/51673/6708/79778/7846/91663/85462/375307/6710,12
GO:0014020,primary neural tube formation,6/360,95/18888,0.063157895,3.313684211,3.151274956,0.009657654,0.247183398,0.228302506,131405/5754/10395/133/57167/10653,6
GO:0032689,negative regulation of type II interferon production,4/360,44/18888,0.090909091,4.76969697,3.489512035,0.009667767,0.247183398,0.228302506,7099/1378/3965/9173,4
GO:1904037,positive regulation of epithelial cell apoptotic process,4/360,44/18888,0.090909091,4.76969697,3.489512035,0.009667767,0.247183398,0.228302506,6424/5319/22925/8644,4
GO:0071774,response to fibroblast growth factor,7/360,124/18888,0.056451613,2.961827957,3.055114695,0.009697401,0.247183398,0.228302506,8817/131405/2250/90993/2252/23213/3340,7
GO:1903305,regulation of regulated secretory pathway,7/360,125/18888,0.056,2.938133333,3.030442078,0.010109935,0.2553245,0.235821757,2268/5413/2623/150/5028/5582/3965,7
GO:0019229,regulation of vasoconstriction,5/360,69/18888,0.072463768,3.801932367,3.250142419,0.010154952,0.2553245,0.235821757,151/552/8864/150/133,5
GO:0060706,cell differentiation involved in embryonic placenta development,3/360,24/18888,0.125,6.558333333,3.797972225,0.010327615,0.25618031,0.236612197,3856/6615/10653,3
GO:1903429,regulation of cell maturation,3/360,24/18888,0.125,6.558333333,3.797972225,0.010327615,0.25618031,0.236612197,64581/6954/25893,3
GO:0018198,peptidyl-cysteine modification,4/360,45/18888,0.088888889,4.663703704,3.429809871,0.010455021,0.257611721,0.23793427,653082/254887/29800/6280,4
GO:0001649,osteoblast differentiation,11/360,257/18888,0.042801556,2.245654994,2.802623257,0.010618984,0.258208981,0.238485909,55603/6696/1050/2201/4037/3082/8840/90993/182/6469/6615,11
GO:0002699,positive regulation of immune effector process,11/360,257/18888,0.042801556,2.245654994,2.802623257,0.010618984,0.258208981,0.238485909,5819/2268/2623/7305/7099/5199/2209/64581/1378/3815/3965,11
GO:2000379,positive regulation of reactive oxygen species metabolic process,5/360,70/18888,0.071428571,3.747619048,3.21023833,0.010769825,0.260165188,0.240292694,575/7305/7099/64581/8644,5
